"Activity name","Activity status","Error","Activity type","Run start","Duration","Integration runtime","User properties","Activity run ID","Log"
"dynamicCopy","Succeeded","","Copy","6/19/2026, 3:50:10 PM","17s","AutoResolveIntegrationRuntime (UAE North)","{}","39c8b2b2-dbab-4403-a6c1-27053232a811",""
"dynamicCopy","Succeeded","","Copy","6/19/2026, 3:49:49 PM","20s","AutoResolveIntegrationRuntime (UAE North)","{}","4f1d3fc8-3326-440f-b1bd-16b7b8923988",""
"dynamicCopy","Succeeded","","Copy","6/19/2026, 3:49:31 PM","18s","AutoResolveIntegrationRuntime (UAE North)","{}","b46a818f-50c7-4606-83b8-b2fc135ebaef",""
"dynamicCopy","Succeeded","","Copy","6/19/2026, 3:49:12 PM","18s","AutoResolveIntegrationRuntime (UAE North)","{}","7d69b466-7db3-4929-98ff-800249f30454",""
"dynamicCopy","Succeeded","","Copy","6/19/2026, 3:48:56 PM","16s","AutoResolveIntegrationRuntime (UAE North)","{}","61656b69-ade0-446a-823e-0e5fd65fe267",""
"dynamicCopy","Succeeded","","Copy","6/19/2026, 3:48:38 PM","17s","AutoResolveIntegrationRuntime (UAE North)","{}","f3e5fb8d-423e-45ee-8674-9082c480bea6",""
"dynamicCopy","Succeeded","","Copy","6/19/2026, 3:48:21 PM","16s","AutoResolveIntegrationRuntime (UAE North)","{}","6ac6cf78-0936-470d-aa95-2ad310b16c35",""
"dynamicCopy","Succeeded","","Copy","6/19/2026, 3:48:03 PM","17s","AutoResolveIntegrationRuntime (UAE North)","{}","bf561720-39b4-4669-977c-1ceffe23eb7d",""
"dynamicCopy","Succeeded","","Copy","6/19/2026, 3:47:44 PM","17s","AutoResolveIntegrationRuntime (UAE North)","{}","417aa2f8-efb9-431b-a843-154329cba490",""
"dynamicCopy","Succeeded","","Copy","6/19/2026, 3:47:28 PM","15s","AutoResolveIntegrationRuntime (UAE North)","{}","010d9a44-f80b-476f-92c9-89331281e889",""
"ForEach1","Succeeded","","ForEach","6/19/2026, 3:47:28 PM","3m 1s","","{}","a9d513c5-dc23-401a-bc84-b0dc499660a1",""
"Lookup1","Succeeded","","Lookup","6/19/2026, 3:47:20 PM","7s","AutoResolveIntegrationRuntime (UAE North)","{}","43dcb079-5afb-48fe-bedc-92e685b2cf7e",""